mukʰoɕta	mukʰoɕtʰa	mukʰoɕwa	mukʰoɕw̤a
szex	ʂzex	r̤zex	ɽ̤zex
unbel	unpel	unɡel	unkel
he̯ardɔ	he̯a̤rdɔ	he̯krdɔ	he̯kʰrdɔ
dutta	tutta	d̤utta	tʰutta
prɔkaɕɔɦ	prɔkãɕɔɦ	prɔkɔɕɔɦ	prɔkɔ̃ɕɔɦ
al̪iɸer	al̪iɸer̤	al̪iɸeŋ	al̪iɸeŋ̤
d͡ʑɔmati	d͡ʑœmati	d͡ʑümati	d͡ʑymati
ɡuna	ɡun̪a	ɡutʰa	ɡut̪ʰa
shaft	shĕft	sha̤ft	she̤ft
eyes	eyæs	eye̤s	eya̤s
cuchi	kuchi	yuchi	uuchi
bal̪am	b̤al̪am	ɡal̪am	ɡ̤al̪am
uike	uĩke	uɔke	uɔ̃ke
t͡ɕʰar	t͡ɕʰãr	t͡ɕʰɔr	t͡ɕʰɔ̃r
rad͡ʑib	rad͡ʑib̤	rad͡ʑit	rad͡ʑitʰ
parin̪a	barin̪a	kʰarin̪a	ɡ̤arin̪a
kreɡ	kreɡ̤	krej	krej̤
ɕul̪ker	t͡ɕul̪ker	çul̪ker	cul̪ker
mamɔ	mamə	mamø	mame
winstrol	winstrol̪	winstrod	winstrod̪
kan̪dɔti	kan̪dɔ̤ti	kan̪dbti	kan̪db̤ti
l̪ɔɡɔin̪	l̪ɔɡɔin̪̪	l̪ɔɡɔit̪	l̪ɔɡɔit̪̪
kapel̪	capel̪	oapel̪	øapel̪
d̪̤ɔrɔnɔ	d̪̤orɔnɔ	d̪̤œrɔnɔ	d̪̤ørɔnɔ
muɦ	mÿɦ	moɦ	møɦ
okparkɔ	okparkɔ̃	okparkæ	okparkã
uiŋ	uëŋ	ui̤ŋ	ue̤ŋ
miie̯e	mĩie̯e	mäie̯e	mãie̯e
iŋra	iŋ̤ra	ibra	ib̤ra
rɔs̪ɔe	rɔs̪œe	rɔs̪ke	rɔs̪ce
tere	ter̤e	teɔe	teɔ̤e
wusab	wṳsab	wɔsab	wɔ̤sab
dɔbl̪u	dɔpl̪u	dɔdl̪u	dɔtl̪u
traɸike	tr̤aɸike	tjaɸike	tj̤aɸike
bokarɔ	bõkarɔ	bɔkarɔ	bɔ̃karɔ
tiaiem	tĩaiem	tăaiem	tãaiem
hunt	hṳnt	ht͡ɕnt	ht͡ɕʰnt
d͡zee̯e	d͡zae̯e	d͡ze̤e̯e	d͡za̤e̯e
birupɔ	birubɔ	birut̪ʰɔ	birud̪̤ɔ
tuktuki	tuktukĕ	tuktukk	tuktukq
t̪ras̪ɔ	t̪rat̪ɔ	t̪rað̪ɔ	t̪rad̪̪ɔ
kɔran̪oi	kɔran̪oë	kɔran̪oi̤	kɔran̪oe̤
milan	mi̤lan	mjlan	mj̤lan
d̪ukʰir	d̪uɡʰir	d̪ut͡ɕʰʰir	d̪ud͡ʑ̤ʰir
s̪ukʰoi	s̪ÿkʰoi	s̪xkʰoi	s̪çkʰoi
ɸe̯el̪	ɸe̯el̪̪	ɸe̯ed̪	ɸe̯ed̪̪
