nets	nett	netx	netk
alkans	alɡans	alθans	alðans
ɾoxes	ɾoxet	ɾoxex	ɾoxek
taɾdjas	daɾdjas	paɾdjas	baɾdjas
liɡiʝas	liɡiʝat	liɡiʝax	liɡiʝak
tendja	dendja	kendja	ɡendja
floɾinda	floɾinta	floɾinða	floɾinθa
nabeɡen	nabeken	nabeden	nabeten
ɾixiendo	ɾixiento	ɾixienbo	ɾixienpo
derumba	derumpa	derumɡa	derumka
estadjos	estatjos	estabjos	estapjos
kɾjamos	xɾjamos	tɾjamos	sɾjamos
ɾiffs	ɾifft	ɾiffx	ɾiffk
tesoɾeɾa	tetoɾeɾa	texoɾeɾa	tekoɾeɾa
fliksbus	fliktbus	flikxbus	flikkbus
fɾesnos	fɾesnot	fɾesnox	fɾesnok
deɾjo	teɾjo	ðeɾjo	θeɾjo
mataɾles	mataɾlet	mataɾlex	mataɾlek
atoɾo	asoɾo	akoɾo	axoɾo
bibɾaɾa	pibɾaɾa	dibɾaɾa	tibɾaɾa
seɾtamen	seɾsamen	seɾkamen	seɾxamen
poʝiboks	poʝiboɡs	poʝibops	poʝibobs
boʝeɾja	poʝeɾja	ðoʝeɾja	θoʝeɾja
nubosos	nuposos	nuɡosos	nukosos
maɡwʝada	maɡwʝata	maɡwʝaða	maɡwʝaθa
tufts	tufds	tufps	tufbs
seɲoɾes	teɲoɾes	xeɲoɾes	keɲoɾes
saljese	saljete	saljexe	saljeke
doblaɾ	doplaɾ	dodlaɾ	dotlaɾ
atɾebeɾa	atɾepeɾa	atɾeɡeɾa	atɾekeɾa
dispensa	tispensa	bispensa	pispensa
botiʝo	potiʝo	ðotiʝo	θotiʝo
sabinas	sapinas	sadinas	satinas
pɾotenis	pɾodenis	pɾopenis	pɾobenis
oneɾoso	oneɾoto	oneɾoxo	oneɾoko
weɾtas	weɾtat	weɾtax	weɾtak
iiadismo	iiaditmo	iiadixmo	iiadikmo
bitɾea	pitɾea	ɡitɾea	kitɾea
desiɾos	desiɾot	desiɾox	desiɾok
sisko	sitko	sixko	sikko
titulaɾ	situlaɾ	kitulaɾ	xitulaɾ
aɾkean	aɾxean	aɾtean	aɾsean
elɡato	elɡado	elɡaθo	elɡaðo
fliɾtea	fliɾsea	fliɾkea	fliɾxea
nobato	nopato	noðato	noθato
aumenta	aumensa	aumenka	aumenxa
wolsstin	wolsttin	wolsxtin	wolsktin
eskɾiben	eskɾipen	eskɾiden	eskɾiten
ktm	ɡtm	θtm	ðtm
biʝota	biʝosa	biʝoka	biʝoxa
bonis	bonit	bonix	bonik
inteɡɾes	inteɡɾet	inteɡɾex	inteɡɾek
kaʝen	xaʝen	taʝen	saʝen
bat	bas	bak	bax
kat͡ʃet	xat͡ʃet	tat͡ʃet	sat͡ʃet
beɾduɡos	beɾduɡot	beɾduɡox	beɾduɡok
upload	ubload	ukload	uɡload
difaman	tifaman	ðifaman	θifaman
meksitel	meksidel	meksikel	meksiɡel
susak	susax	susat	susas
despexes	despekes	despeses	despetes
koɾtito	koɾsito	koɾkito	koɾxito
eskuden	etkuden	exkuden	ekkuden
djaloɡan	tjaloɡan	bjaloɡan	pjaloɡan
estaʝo	esdaʝo	espaʝo	esbaʝo
stɾait	sdɾait	sθɾait	sðɾait
komedi	ɡomedi	tomedi	domedi
enxie	enkie	ensie	entie
topaɾte	topaɾse	topaɾke	topaɾxe
dsk	tsk	ɡsk	ksk
festexa	festeka	festesa	festeta
obed	oped	oded	oted
sampajo	tampajo	xampajo	kampajo
dedal	detal	deɡal	dekal
sabeʝa	sapeʝa	saɡeʝa	sakeʝa
ɾepatea	ɾepasea	ɾepakea	ɾepaxea
konabim	konapim	konaðim	konaθim
ablasen	aplasen	adlasen	atlasen
diskette	disɡette	disθette	disðette
pekines	pekinet	pekinex	pekinek
moiks	moiɡs	moiθs	moiðs
boraɾjan	poraɾjan	doraɾjan	toraɾjan
moʝexas	moʝekas	moʝesas	moʝetas
mms	mmt	mmx	mmk
fiɾmante	fiɾmande	fiɾmanθe	fiɾmanðe
tumbaɾon	sumbaɾon	kumbaɾon	xumbaɾon
debutaɾ	debudaɾ	debupaɾ	debubaɾ
pablets	pablett	pabletx	pabletk
aɾaɲado	aɾaɲato	aɾaɲaðo	aɾaɲaθo
baɾjeti	baɾjedi	baɾjepi	baɾjebi
atɾja	adɾja	apɾja	abɾja
estaɾse	essaɾse	eskaɾse	esxaɾse
aɡwdisa	aɡwdita	aɡwdixa	aɡwdika
insulina	intulina	inxulina	inkulina
safiɾem	tafiɾem	xafiɾem	kafiɾem
ɾetenido	ɾesenido	ɾekenido	ɾexenido
mentoɾja	mendoɾja	menpoɾja	menboɾja
paseas	baseas	taseas	daseas
stan	ttan	xtan	ktan
eutopja	eutobja	eutotja	eutodja
