baɡnɛtu	paɡnɛtu	ʑaɡnɛtu	ɕaɡnɛtu
tuwam	duwam	suwam	zuwam
skɔɕnɨ	ʂkɔɕnɨ	zkɔɕnɨ	ʐkɔɕnɨ
ajzavl	ajzafl	ajzad͡ʑl	ajzat͡ɕl
upzp	upzb	upzʂ	upzʐ
pɔɲiʂʂa	pɔŋiʂʂa	pɔkʲiʂʂa	pɔkiʂʂa
ɡunna	kunna	dunna	tunna
dɔrɔʂka	dɔrɔʂxa	dɔrɔʂta	dɔrɔʂsa
pɔlin	bɔlin	tɔlin	dɔlin
vɨvɔzɔvɛ	vɨfɔzɔvɛ	vɨʐɔzɔvɛ	vɨʂɔzɔvɛ
fitɔvɨ	vitɔvɨ	ɕitɔvɨ	ʑitɔvɨ
ɡɛmbax	ɡɛmbaχ	ɡɛmbak	ɡɛmbaq
pɔlɛvjɛ	pɔlɛvjɛ̃	pɔlɛvjä	pɔlɛvjã
kaɲɔnɨ	kãɲɔnɨ	kɛɲɔnɨ	kɛ̃ɲɔnɨ
udɛʐɨwɨ	utɛʐɨwɨ	uʐɛʐɨwɨ	uʂɛʐɨwɨ
vlatʂaɲɛ	flatʂaɲɛ	blatʂaɲɛ	platʂaɲɛ
bajɔr	pajɔr	ʑajɔr	ɕajɔr
xalami	χalami	kalami	qalami
lukawɛm	lukawɛ̃m	lukawäm	lukawãm
vadɛa	vãdɛa	vɛdɛa	vɛ̃dɛa
asɛmu	ãsɛmu	ɛsɛmu	ɛ̃sɛmu
vatɛrlɔɔ	vatɛrlœɔ	vatɛrlkɔ	vatɛrlkʲɔ
kɔnsɛnsu	qɔnsɛnsu	xɔnsɛnsu	χɔnsɛnsu
kɔntuaru	kɔ̃ntuaru	kɛ̈ntuaru	kɛ̃ntuaru
tʂujnɛ	tʂujnɛ̃	tʂujnɔ	tʂujnɔ̃
rat͡ɕɔ̃ʂ	rat͡ɕɔ̃s	rat͡ɕɔ̃ʐ	rat͡ɕɔ̃z
nmp	nmb	nmɕ	nmʑ
vaʐnɛj	faʐnɛj	baʐnɛj	paʐnɛj
vɨlɔtɨ	fɨlɔtɨ	ʑɨlɔtɨ	ɕɨlɔtɨ
lɔnɡa	lɔ̃nɡa	lɛnɡa	lɛ̃nɡa
stɛllɛ	ztɛllɛ	kʲtɛllɛ	ɡʲtɛllɛ
kɛvinɛm	xɛvinɛm	dɛvinɛm	zɛvinɛm
pʂɛʐɨvaw	bʂɛʐɨvaw	t͡ɕʂɛʐɨvaw	d͡ʑʂɛʐɨvaw
vɲiknɛwɔ	fɲiknɛwɔ	ɡʲɲiknɛwɔ	kʲɲiknɛwɔ
zwɔsɔbɨ	zwɔsɔbi	zwɔsɔbɔ	zwɔsɔbœ
vɛntkɛ	vɛndkɛ	vɛnkʲkɛ	vɛnɡʲkɛ
pɔkɔsɛm	pɔ̃kɔsɛm	pækɔsɛm	pãkɔsɛm
tɔmɛkɔp	t͡sɔmɛkɔp	dɔmɛkɔp	d͡zɔmɛkɔp
pikat͡s	pɨkat͡s	pɲkat͡s	pŋkat͡s
bartxɛk	bãrtxɛk	bɔrtxɛk	bɔ̃rtxɛk
malinɛ	malɨnɛ	malɡʲnɛ	malɡnɛ
ʑɛlɔnɨ	ʑɛlɔ̃nɨ	ʑɛlanɨ	ʑɛlãnɨ
zbjɔrɲi	zbjɔrŋi	zbjɔrïi	zbjɔrɨi
ftʂɨtaɲu	ftʂïtaɲu	ftʂktaɲu	ftʂkʲtaɲu
mjɛʐmɨ	mjɛzmɨ	mjɛʂmɨ	mjɛsmɨ
pxnɛli	bxnɛli	sxnɛli	zxnɛli
ɔvatɔ̃	ɔvasɔ̃	ɔvadɔ̃	ɔvazɔ̃
vɨbuliwɔ	fɨbuliwɔ	d͡ʑɨbuliwɔ	t͡ɕɨbuliwɔ
drɛsa	drɛ̃sa	drasa	drãsa
bɨrrt	bïrrt	bŋrrt	bɲrrt
kart͡ɕiw	kãrt͡ɕiw	kɛrt͡ɕiw	kɛ̃rt͡ɕiw
mɛtxɔts	mɛtxœts	mɛtxɨts	mɛtxïts
ruʂtɨ	ruʂsɨ	ruʂd͡ʑɨ	ruʂʑɨ
ɛrk	ɛ̃rk	ɔrk	ɔ̃rk
blaxɔ	blaxɔ̃	blaxɛ̈	blaxɛ̃
pɔmu	bɔmu	t͡ɕɔmu	d͡ʑɔmu
zvɨtʂjɲɛ	zfɨtʂjɲɛ	zbɨtʂjɲɛ	zpɨtʂjɲɛ
ɡalatuv	ɡʲalatuv	ŋalatuv	ɲalatuv
kʲilɔsuf	kʲilɔsuv	kʲilɔsut͡s	kʲilɔsud͡z
daʂku	daʂkʲu	daʂɔ̆u	daʂœu
filipp	filipb	filipf	filipv
krasɛ	krasɛ̃	krasæ	krasã
