ametania	ãmetania	ömetania	õmetania
ɗonɡe	ɗonɡï	ɗonɡq	ɗonɡk
tumboni	dumboni	kumboni	ɡumboni
ɗessan	ɗesθan	ɗeszan	ɗesðan
tɾice	tɾece	tɾkce	tɾqce
ɾauzatul	ɾãuzatul	ɾouzatul	ɾõuzatul
imɗɓ	imdɓ	imɓɓ	imbɓ
hakipo	hakepo	hakkpo	hakqpo
salaɾies	salaɾëes	salaɾkes	salaɾqes
hoɗɠkin	hodɠkin	hoɠɠkin	hoɡɠkin
wanauwa	wãnauwa	wönauwa	wõnauwa
aʃikilie	aʃikelie	aʃikklie	aʃikqlie
mkaɓomoa	mkaɓømoa	mkaɓɠmoa	mkaɓʄmoa
kambin	kamɓin	kamɡin	kamɠin
otondi	osondi	odondi	ozondi
lopa	lopã	lopo	lopõ
ɓasilius	ɓasiliut	ɓasiliuɣ	ɓasiliuɡ
evel	evïl	evql	evkl
meehan	meïhan	meqhan	mekhan
mseveni	msefeni	mseɡeni	msekeni
kaɗuna	kãɗuna	köɗuna	kõɗuna
mwwɲezi	mwwɲeði	mwwɲesi	mwwɲeθi
kajeɾa	cajeɾa	xajeɾa	çajeɾa
mwanziva	mwandiva	mwançiva	mwanciva
mwɲe	mwŋe	mwøe	mwöe
kuwatoʃa	kuwãtoʃa	kuwötoʃa	kuwõtoʃa
unauona	unauõna	unauana	unauãna
ahafali	ahavali	ahaxali	ahaɣali
vimeota	fimeota	bimeota	pimeota
cuɾtin	kuɾtin	ɲuɾtin	ŋuɾtin
paleti	palete	paletk	paletq
mtuva	mduva	mθuva	mðuva
kulee	kuleï	kuleq	kulek
hufuati	huvuati	huxuati	huɣuati
sisikwa	sisekwa	siskkwa	sisqkwa
usoke	usoki	usokq	usokk
mɠoma	mʄoma	mɡoma	mɟoma
heɓ	heb	heɗ	hed
liman	leman	lkman	lqman
ɓinduɾa	ɓinzuɾa	ɓincuɾa	ɓinçuɾa
kukawepo	kukawïpo	kukawqpo	kukawkpo
kumiss	kumëss	kumkss	kumqss
kunuia	kunuea	kunuka	kunuqa
cassamo	cassamõ	cassamä	cassamã
umelinda	umilinda	umqlinda	umklinda
eleuteɾi	eliuteɾi	elquteɾi	elkuteɾi
kupalia	kupaliã	kupalio	kupaliõ
vilhelm	filhelm	ɣilhelm	xilhelm
kikuɓa	qikuɓa	iikuɓa	ëikuɓa
jawazika	jawãzika	jawozika	jawõzika
uonavjo	uonavjõ	uonavja	uonavjã
mawakali	mawaɡali	mawaxali	mawaɣali
nɡuema	nɣuema	nduema	nzuema
ɓeθzaθa	ɓiθzaθa	ɓqθzaθa	ɓkθzaθa
meθoɗist	meθõɗist	meθaɗist	meθãɗist
epplej	epplïj	epplqj	epplkj
utumike	utumeke	utumkke	utumqke
ɓaʃani	baʃani	ʄaʃani	ɟaʃani
ameseama	amesïama	amesqama	ameskama
ɾeɓates	ɾeɓases	ɾeɓaces	ɾeɓaçes
unasihi	unasihë	unasihk	unasihq
tcas	tɟas	tpas	tbas
ɠaɾnet	ɠãɾnet	ɠoɾnet	ɠõɾnet
akaaɠana	ãkaaɠana	ökaaɠana	õkaaɠana
akilikwa	akilikwã	akilikwö	akilikwõ
komakoma	komakomã	komakomö	komakomõ
tojin	sojin	kojin	xojin
θiɗi	θeɗi	θkɗi	θqɗi
usukume	usuqume	usuïume	usueume
sinao	sënao	sknao	sqnao
kapseɾet	kabseɾet	kasseɾet	kazseɾet
ninaʃiɗa	ninaʃëɗa	ninaʃkɗa	ninaʃqɗa
oɾt͡ʃiɗ	oɾs͡ʃiɗ	oɾd͡ʃiɗ	oɾz͡ʃiɗ
aliŋatwa	ãliŋatwa	öliŋatwa	õliŋatwa
kem	cem	ɡem	ɟem
ʄakuɓ	ɟakuɓ	ɓakuɓ	bakuɓ
kuwambia	kuwambëa	kuwambka	kuwambqa
mʃote	mʃõte	mʃäte	mʃãte
kukeep	kuxeep	kuceep	kuçeep
nisiiʃi	nesiiʃi	nksiiʃi	nqsiiʃi
kitaluma	ketaluma	kktaluma	kqtaluma
toɾoɾo	tõɾoɾo	tæɾoɾo	tãɾoɾo
standinɡ	standinɟ	standinŋ	standinɲ
amstɾonɡ	ãmstɾonɡ	ömstɾonɡ	õmstɾonɡ
ʄoviθa	ʄøviθa	ʄxviθa	ʄçviθa
usiiɓue	usiibue	usiiɗue	usiidue
hilika	hilixa	hilida	hiliza
zelewski	delewski	xelewski	kelewski
pumwani	pumwãni	pumwoni	pumwõni
ninaona	ninaõna	ninaæna	ninaãna
wahenɡa	wãhenɡa	wohenɡa	wõhenɡa
ɾeɓound	ɾebound	ɾeʄound	ɾeɟound
mutu	mudu	muθu	muðu
ʄumattu	ɠumattu	øumattu	oumattu
ipokeeni	ibokeeni	itokeeni	idokeeni
lucia	lucëa	lucka	lucqa
wamnɡoa	wamnɡõa	wamnɡæa	wamnɡãa
welcome	wïlcome	wqlcome	wklcome
naa	naã	nao	naõ
unmanneɗ	unmanned	unmanneɓ	unmanneb
