oqiʃɡan	øqiʃɡan	əqiʃɡan	ɛqiʃɡan
wbɒ	wbɒ̃	wbæ	wbã
zapasini	zapazini	zapapini	zapabini
d̪hh	t̪hh	ʁhh	χhh
pɒjɒnsiz	pɒjɒnsez	pɒjɒnskz	pɒjɒnsqz
ɡsm	ksm	d̪sm	t̪sm
umarɒva	umerɒva	umɒ̈rɒva	umorɒva
t̪d̪ju	t̪t̪ju	t̪zju	t̪sju
somlar	sɒmlar	semlar	sæmlar
mbrr	mprr	mðrr	mθrr
bɒʃald̪i	bɒʃeld̪i	bɒʃɒ̈ld̪i	bɒʃold̪i
χɒmijlik	χɒmijlek	χɒmijlkk	χɒmijlqk
qamt͡ʃiq	qamt͡ʃeq	qamt͡ʃkq	qamt͡ʃqq
kazinɒ	kasinɒ	kad̪inɒ	kat̪inɒ
rɒmniniŋ	romniniŋ	rämniniŋ	remniniŋ
kanizaɡi	canizaɡi	oanizaɡi	øanizaɡi
kjinrɒq	kjinroq	kjinräq	kjinreq
beknijɒz	beknijɒð	beknijɒs	beknijɒθ
wilkes	wilkas	wilkos	wilkɒs
qilsak	qilθak	qilzak	qilðak
kejnniŋ	ɡejnniŋ	χejnniŋ	ʁejnniŋ
akad̪an	akaðan	akacan	akaçan
t͡ʃalɒb	d͡ʒalɒb	kalɒb	ɡalɒb
ɡɒrmɒn	ɡɒ̃rmɒn	ɡärmɒn	ɡãrmɒn
asuni	aθuni	azuni	aðuni
ɒʔŋi	oʔŋi	äʔŋi	eʔŋi
melisani	meliθani	melizani	meliðani
sozlaʃ	θozlaʃ	zozlaʃ	ðozlaʃ
harrat̪i	harraθi	harraci	harraçi
appni	apbni	apθni	apðni
jɒʔlab	jɒʔlap	jɒʔlað	jɒʔlaθ
saab	saap	saad̪	saat̪
amer	emer	ɒ̆mer	omer
kuzini	kusini	kuðini	kuθini
wsbk	wsbq	wsbi	wsbe
jukiniŋ	jukeniŋ	jukkniŋ	jukqniŋ
bermɒɡʔi	bermɒɡʔe	bermɒɡʔk	bermɒɡʔq
