t̪aɒbaɒ	t̪aɒ̃paɒ	t̪aæðaɒ	t̪aãθaɒ
aʔnɒlari	aʔnɒ̃laei	aʔnälaki	aʔnãlaqi
ɒʔzmu	ɒ̃ʔðmu	aʔsmu	ãʔθmu
rikard̪u	riqãrd̪u	riiɒrd̪u	rieɒ̃rd̪u
korlikni	kɒ̆rlikne	kerliknk	karliknq
kavir	kãver	kɒ̆vkr	kɒ̃vqr
et̪ilɡa	et̪elɡã	et̪klɡɒ̈	et̪qlɡɒ̃
qojibsan	qɒjipsan	qejizsan	qäjsbsan
at̪bara	ãt̪baãa	ɒ̈t̪baɒ̈a	ɒ̃t̪baɒ̃a
neɒd̪im	näɒdeim	noɒd̪km	nɒ̆ɒdqim
d̪ad̪asi	d̪ad̪ãse	d̪ad̪ɒ̆sk	d̪ad̪ɒ̃sq
muarriχi	muarreχe	muarrkχk	muarrqχq
aŋlaɡan	eŋlakan	ɒŋlazan	oŋlasan
kuruʃɡa	curuʃka	ouruʃʁa	øuruʃχa
sinɒniŋ	zinɒ̃niŋ	θinæniŋ	ðinãniŋ
raɸlar	reβlar	rɒ̆t̪lar	rod̪lar
minɒ	menɒ̃	mknæ	mqnã
lejk	lɛjɡ	løjs	lœjz
d̪emaɡil	d̪ømeɡil	d̪ɛmɒ̈ɡil	d̪œmoɡil
pellet̪	belløt̪	χellɛt̪	ʁellœt̪
ummɒnd̪a	ummɒ̃ndea	ummändɒ̆a	ummãndoa
luiziana	luiðiãna	luisiɒ̆na	luiθiɒ̃na
bɒkud̪an	pɒ̃kud̪an	ɡækud̪an	kãkud̪an
jirɒqman	jiroqmen	jiraqmɒ̆n	jireqmon
alajka	ãeajka	ɒ̈ɒ̈ajka	ɒ̃oajka
sɒzlaʃi	zɒslaʃi	ɸɒðlaʃi	βɒθlaʃi
kʁd̪an	cʁd̪en	əʁd̪ɒ̆n	ɛʁd̪on
sanʔ	zãnʔ	ɸɒ̈nʔ	βɒ̃nʔ
ɡalrjasi	ɡalrjezi	ɡalrjɒki	ɡalrjoɡi
kabir	ɡaber	θabkr	ðabqr
d̪aniil	d̪eniel	d̪ɒ̆nikl	d̪oniql
nevskij	nevzkej	nevkkkj	nevɡkqj
sɒliŋ	sɒ̃eiŋ	säkiŋ	sãqiŋ
bulɒn	pulon	ʁulän	χulen
ɡʔɒʃt̪i	kʔɒʃt̪e	βʔɒʃt̪k	ɸʔɒʃt̪q
berkli	perkle	ðerklk	θerklq
ananizm	ananeðm	ananksm	ananqθm
hizmat̪i	hizmet̪e	hizmɒ̈t̪k	hizmot̪q
ozɡad̪an	osɡed̪an	oβɡɒ̈d̪an	oɸɡod̪an
et̪asan	et̪ezan	et̪ɒɸan	et̪oβan
ɡoʃt̪iɡa	koʃt̪iɡã	βoʃt̪iɡɒ	ɸoʃt̪iɡɒ̃
rɒzɡɒrɡa	rɒ̃zɡɒrka	razɡɒrʁa	rãzɡɒrχa
husainɒv	husãioɒv	husɒinav	husɒ̃ieɒv
χiamen	χeãmen	χkɒmen	χqɒ̃men
